subject,trial,celeb_id,celeb_name,celeb_image,celeb_position,rand0_name,rand0_pos,rand1_name,rand1_pos,rand2_name,rand2_pos,rand3_name,rand3_pos,answer_celeb,answer_position,correct,rt
sub-10, trial27, 10, Keanu Reeves, ID10_IM02.bmp, (-550, -100), Leonardo DiCaprio, (-300, 300), Ryan Reynolds, (300, 300), Ben Stiller, (0, -400), Matt Damon, (550, -100), Keanu Reeves, [-437. -115.], 1, 1.4440532000153325
sub-10, trial31, 02, Ben Stiller, ID02_IM02.bmp, (550, -100), Matt Damon, (-300, 300), Ryan Reynolds, (0, -400), Leonardo DiCaprio, (300, 300), Ryan Gosling, (-550, -100), Ben Stiller, [481. -78.], 1, 1.4633473999565467
sub-10, trial8, 08, Hugh Jackman, ID08_IM04.bmp, (300, 300), Patrick Dempsey, (-550, -100), Daniel Radcliffe, (0, -400), Ben Stiller, (-300, 300), Matt Damon, (550, -100), Hugh Jackman, [210. 282.], 1, 2.6907582000130787
sub-10, trial68, 09, Justin Timberlake, ID09_IM01.bmp, (300, 300), Ryan Gosling, (550, -100), Elijah Wood, (0, -400), Keanu Reeves, (-550, -100), Ben Stiller, (-300, 300), Justin Timberlake, [176. 261.], 1, 1.7256002000067383
sub-10, trial67, 11, Leonardo DiCaprio, ID11_IM04.bmp, (-300, 300), Robert Pattinson, (-550, -100), Orlando Bloom, (550, -100), Robert Downey Jr, (0, -400), Daniel Radcliffe, (300, 300), Leonardo DiCaprio, [-241.  303.], 1, 1.0456572999828495
sub-10, trial48, 04, Daniel Craig, ID04_IM01.bmp, (0, -400), Hugh Jackman, (550, -100), Ryan Gosling, (-300, 300), George Clooney, (-550, -100), Ben Stiller, (300, 300), Daniel Craig, [  50. -413.], 1, 1.274727799987886
sub-10, trial10, 09, Justin Timberlake, ID09_IM04.bmp, (-300, 300), Elijah Wood, (0, -400), Robert Downey Jr, (550, -100), Ryan Gosling, (-550, -100), Ben Affleck, (300, 300), Justin Timberlake, [-140.  299.], 1, 0.956802400003653
sub-10, trial7, 18, Ryan Reynolds, ID18_IM02.bmp, (300, 300), Patrick Dempsey, (-550, -100), Daniel Craig, (0, -400), George Clooney, (-300, 300), Ben Stiller, (550, -100), Ryan Reynolds, [211. 267.], 1, 1.6840435999911278
sub-10, trial19, 06, Elijah Wood, ID06_IM03.bmp, (-300, 300), Keanu Reeves, (0, -400), Daniel Craig, (-550, -100), Patrick Dempsey, (550, -100), Matt Damon, (300, 300), Elijah Wood, [-294.  306.], 1, 1.0708482000045478
sub-10, trial45, 03, Brad Pitt, ID03_IM03.bmp, (-300, 300), Orlando Bloom, (300, 300), Justin Timberlake, (550, -100), Ryan Reynolds, (-550, -100), Ben Affleck, (0, -400), Brad Pitt, [-251.  281.], 1, 1.0250114999944344
