subject,trial,celeb_id,celeb_name,celeb_image,celeb_position,rand0_name,rand0_pos,rand1_name,rand1_pos,rand2_name,rand2_pos,rand3_name,rand3_pos,answer_celeb,answer_position,correct,rt
sub-19, trial64, 15, Robert Downey Jr, ID15_IM01.bmp, (-550, -100), Robert Pattinson, (300, 300), Keanu Reeves, (-300, 300), Matt Damon, (550, -100), George Clooney, (0, -400), idk, [121.  12.], 0, 1.7476615000050515
sub-19, trial25, 10, Keanu Reeves, ID10_IM01.bmp, (550, -100), Brad Pitt, (-300, 300), Daniel Radcliffe, (0, -400), Orlando Bloom, (-550, -100), Robert Pattinson, (300, 300), Keanu Reeves, [ 444. -120.], 1, 3.8761031000176445
sub-19, trial27, 04, Daniel Craig, ID04_IM04.bmp, (-550, -100), Ben Stiller, (550, -100), Leonardo DiCaprio, (0, -400), Orlando Bloom, (300, 300), Daniel Radcliffe, (-300, 300), familiar face, [ -3. -84.], 1, 4.886090800049715
sub-19, trial12, 01, Ben Affleck, ID01_IM01.bmp, (-300, 300), Justin Timberlake, (300, 300), Robert Downey Jr, (-550, -100), Leonardo DiCaprio, (0, -400), Daniel Radcliffe, (550, -100), idk, [-2. 67.], 0, 0.9449360999278724
sub-19, trial46, 13, Orlando Bloom, ID13_IM01.bmp, (0, -400), Justin Timberlake, (-300, 300), Robert Downey Jr, (300, 300), George Clooney, (550, -100), Ben Affleck, (-550, -100), familiar face, [  35. -144.], 1, 5.553026100038551
sub-19, trial44, 07, George Clooney, ID07_IM03.bmp, (0, -400), Ben Affleck, (-550, -100), Daniel Radcliffe, (550, -100), Orlando Bloom, (-300, 300), Daniel Craig, (300, 300), George Clooney, [ 135. -360.], 1, 1.8406860999530181
sub-19, trial14, 18, Ryan Reynolds, ID18_IM02.bmp, (0, -400), Ben Stiller, (-300, 300), Hugh Jackman, (300, 300), Patrick Dempsey, (-550, -100), Justin Timberlake, (550, -100), familiar face, [102. -95.], 1, 10.181777899968438
sub-19, trial70, 14, Patrick Dempsey, ID14_IM03.bmp, (300, 300), Hugh Jackman, (0, -400), Robert Pattinson, (-300, 300), Keanu Reeves, (-550, -100), Matt Damon, (550, -100), familiar face, [102. -95.], 1, 4.158121300046332
sub-19, trial43, 15, Robert Downey Jr, ID15_IM03.bmp, (550, -100), Keanu Reeves, (0, -400), Orlando Bloom, (300, 300), Daniel Radcliffe, (-550, -100), Hugh Jackman, (-300, 300), familiar face, [102. -95.], 1, 12.713179100072011
sub-19, trial66, 02, Ben Stiller, ID02_IM01.bmp, (550, -100), Robert Pattinson, (-300, 300), Brad Pitt, (300, 300), Daniel Craig, (0, -400), Patrick Dempsey, (-550, -100), idk, [103.  39.], 0, 0.6600631000474095
sub-19, trial9, 02, Ben Stiller, ID02_IM04.bmp, (-300, 300), Daniel Radcliffe, (-550, -100), Brad Pitt, (300, 300), George Clooney, (0, -400), Patrick Dempsey, (550, -100), idk, [103.  39.], 0, 0.35774620005395263
sub-19, trial33, 01, Ben Affleck, ID01_IM03.bmp, (-300, 300), Ryan Gosling, (300, 300), Hugh Jackman, (0, -400), Elijah Wood, (550, -100), George Clooney, (-550, -100), idk, [103.  39.], 0, 1.3889252999797463
subject,trial,celeb_id,celeb_name,celeb_image,celeb_position,rand0_name,rand0_pos,rand1_name,rand1_pos,rand2_name,rand2_pos,rand3_name,rand3_pos,answer_celeb,answer_position,correct,rt
sub-19, trial57, 07, George Clooney, ID07_IM01.bmp, (-550, -100), Orlando Bloom, (300, 300), Keanu Reeves, (0, -400), Patrick Dempsey, (550, -100), Justin Timberlake, (-300, 300), George Clooney, [-472. -105.], 1, 1.913524999981746
sub-19, trial12, 08, Hugh Jackman, ID08_IM04.bmp, (300, 300), Robert Downey Jr, (0, -400), Justin Timberlake, (550, -100), Daniel Craig, (-300, 300), Ryan Gosling, (-550, -100), idk, [14. 31.], 0, 2.1181960999965668
sub-19, trial48, 15, Robert Downey Jr, ID15_IM03.bmp, (-300, 300), Justin Timberlake, (-550, -100), Patrick Dempsey, (300, 300), Matt Damon, (0, -400), Ryan Reynolds, (550, -100), familiar face, [  28. -102.], 1, 31.859531600028276
sub-19, trial35, 10, Keanu Reeves, ID10_IM01.bmp, (0, -400), Ben Stiller, (-300, 300), Brad Pitt, (300, 300), Elijah Wood, (-550, -100), Ryan Gosling, (550, -100), Keanu Reeves, [ -60. -406.], 1, 2.094405999989249
sub-19, trial65, 18, Ryan Reynolds, ID18_IM04.bmp, (-300, 300), Ben Stiller, (300, 300), Justin Timberlake, (550, -100), Patrick Dempsey, (-550, -100), George Clooney, (0, -400), familiar face, [ 111. -129.], 1, 14.256796399946325
sub-19, trial70, 07, George Clooney, ID07_IM03.bmp, (-550, -100), Daniel Radcliffe, (-300, 300), Keanu Reeves, (550, -100), Elijah Wood, (0, -400), Leonardo DiCaprio, (300, 300), George Clooney, [-442. -113.], 1, 1.1556092000100762
sub-19, trial50, 15, Robert Downey Jr, ID15_IM04.bmp, (-550, -100), Daniel Craig, (300, 300), Leonardo DiCaprio, (550, -100), Ryan Gosling, (-300, 300), Elijah Wood, (0, -400), familiar face, [  75. -119.], 1, 8.212258300045505
sub-19, trial66, 16, Robert Pattinson, ID16_IM01.bmp, (550, -100), George Clooney, (-300, 300), Brad Pitt, (0, -400), Ryan Reynolds, (-550, -100), Daniel Radcliffe, (300, 300), Robert Pattinson, [ 589. -111.], 1, 1.9851822000928223
sub-19, trial31, 13, Orlando Bloom, ID13_IM04.bmp, (-550, -100), Brad Pitt, (550, -100), Elijah Wood, (300, 300), Patrick Dempsey, (0, -400), Robert Downey Jr, (-300, 300), idk, [69. 29.], 0, 2.879580599954352
sub-19, trial17, 17, Ryan Gosling, ID17_IM02.bmp, (300, 300), Daniel Craig, (0, -400), Ben Affleck, (-550, -100), Brad Pitt, (-300, 300), Robert Pattinson, (550, -100), idk, [119.  29.], 0, 1.4665796000044793
sub-19, trial45, 17, Ryan Gosling, ID17_IM03.bmp, (550, -100), Justin Timberlake, (-550, -100), Robert Downey Jr, (0, -400), Elijah Wood, (300, 300), Ryan Reynolds, (-300, 300), idk, [129.  29.], 0, 0.8777528000064194
sub-19, trial10, 16, Robert Pattinson, ID16_IM04.bmp, (-300, 300), Elijah Wood, (-550, -100), Daniel Radcliffe, (300, 300), Leonardo DiCaprio, (550, -100), Robert Downey Jr, (0, -400), Robert Pattinson, [-185.  271.], 1, 2.968751600012183
sub-19, trial38, 03, Brad Pitt, ID03_IM01.bmp, (-550, -100), Ben Stiller, (300, 300), Robert Pattinson, (0, -400), Daniel Craig, (550, -100), Patrick Dempsey, (-300, 300), Brad Pitt, [-431. -111.], 1, 33.74342179996893
sub-19, trial14, 15, Robert Downey Jr, ID15_IM02.bmp, (0, -400), Ben Affleck, (550, -100), Keanu Reeves, (-550, -100), George Clooney, (-300, 300), Brad Pitt, (300, 300), idk, [-9. 36.], 0, 3.279956500045955
sub-19, trial39, 06, Elijah Wood, ID06_IM03.bmp, (-300, 300), Ben Affleck, (550, -100), Ben Stiller, (300, 300), Ryan Reynolds, (0, -400), Brad Pitt, (-550, -100), Elijah Wood, [-169.  270.], 1, 2.498680599965155
sub-19, trial62, 01, Ben Affleck, ID01_IM04.bmp, (300, 300), Ben Stiller, (550, -100), Robert Pattinson, (-550, -100), Daniel Radcliffe, (-300, 300), Leonardo DiCaprio, (0, -400), idk, [15. 41.], 0, 2.1805551000870764
sub-19, trial13, 17, Ryan Gosling, ID17_IM01.bmp, (300, 300), Ben Stiller, (550, -100), Robert Downey Jr, (-550, -100), Hugh Jackman, (-300, 300), Justin Timberlake, (0, -400), idk, [75. 49.], 0, 0.7639304000185803
sub-19, trial41, 17, Ryan Gosling, ID17_IM04.bmp, (0, -400), Hugh Jackman, (-300, 300), Robert Downey Jr, (550, -100), George Clooney, (300, 300), Daniel Craig, (-550, -100), idk, [75. 49.], 0, 0.6017500000307336
sub-19, trial60, 08, Hugh Jackman, ID08_IM01.bmp, (550, -100), George Clooney, (300, 300), Brad Pitt, (-300, 300), Orlando Bloom, (-550, -100), Ryan Reynolds, (0, -400), idk, [75. 49.], 0, 0.8234736999729648
sub-19, trial53, 01, Ben Affleck, ID01_IM03.bmp, (550, -100), Hugh Jackman, (300, 300), Orlando Bloom, (-550, -100), Robert Downey Jr, (-300, 300), Keanu Reeves, (0, -400), idk, [75. 49.], 0, 0.73316890001297
sub-19, trial2, 04, Daniel Craig, ID04_IM04.bmp, (-300, 300), Ben Stiller, (550, -100), Elijah Wood, (300, 300), Patrick Dempsey, (0, -400), Ben Affleck, (-550, -100), familiar face, [  21. -111.], 1, 13.229794400045648
sub-19, trial36, 14, Patrick Dempsey, ID14_IM02.bmp, (0, -400), George Clooney, (-300, 300), Elijah Wood, (550, -100), Daniel Radcliffe, (300, 300), Matt Damon, (-550, -100), familiar face, [ -69. -128.], 1, 10.75460739992559
sub-19, trial29, 09, Justin Timberlake, ID09_IM01.bmp, (0, -400), George Clooney, (550, -100), Ryan Gosling, (-300, 300), Matt Damon, (300, 300), Ben Stiller, (-550, -100), idk, [25. 47.], 0, 2.0575138999847695
sub-19, trial24, 11, Leonardo DiCaprio, ID11_IM04.bmp, (-300, 300), Brad Pitt, (550, -100), Orlando Bloom, (300, 300), Matt Damon, (-550, -100), George Clooney, (0, -400), Leonardo DiCaprio, [-229.  295.], 1, 1.4292328000301495
sub-19, trial54, 05, Daniel Radcliffe, ID05_IM04.bmp, (-300, 300), Ryan Gosling, (0, -400), Ben Stiller, (550, -100), Keanu Reeves, (300, 300), Hugh Jackman, (-550, -100), Daniel Radcliffe, [-210.  283.], 1, 2.7458651999477297
sub-19, trial32, 04, Daniel Craig, ID04_IM03.bmp, (-550, -100), Ryan Gosling, (300, 300), Daniel Radcliffe, (0, -400), Ryan Reynolds, (-300, 300), Ben Stiller, (550, -100), Daniel Craig, [-453. -116.], 1, 41.23383280006237
sub-19, trial6, 09, Justin Timberlake, ID09_IM03.bmp, (-300, 300), Patrick Dempsey, (-550, -100), Ben Affleck, (0, -400), Brad Pitt, (300, 300), Orlando Bloom, (550, -100), idk, [-95.  35.], 0, 0.9425237000687048
sub-19, trial47, 07, George Clooney, ID07_IM02.bmp, (-300, 300), Ben Affleck, (-550, -100), Orlando Bloom, (300, 300), Ryan Gosling, (0, -400), Justin Timberlake, (550, -100), George Clooney, [-251.  317.], 1, 1.0620312999235466
sub-19, trial40, 11, Leonardo DiCaprio, ID11_IM01.bmp, (300, 300), Justin Timberlake, (550, -100), Orlando Bloom, (0, -400), Ryan Reynolds, (-300, 300), Keanu Reeves, (-550, -100), Leonardo DiCaprio, [241. 279.], 1, 0.8334858000744134
sub-19, trial46, 07, George Clooney, ID07_IM04.bmp, (-300, 300), Elijah Wood, (300, 300), Brad Pitt, (-550, -100), Ryan Gosling, (550, -100), Orlando Bloom, (0, -400), George Clooney, [-195.  296.], 1, 0.9017503999639302
sub-19, trial58, 06, Elijah Wood, ID06_IM04.bmp, (-300, 300), Daniel Craig, (-550, -100), Leonardo DiCaprio, (0, -400), Robert Pattinson, (300, 300), Brad Pitt, (550, -100), Elijah Wood, [-187.  292.], 1, 2.0388895999640226
sub-19, trial34, 13, Orlando Bloom, ID13_IM03.bmp, (-550, -100), Leonardo DiCaprio, (300, 300), Hugh Jackman, (-300, 300), George Clooney, (0, -400), Brad Pitt, (550, -100), Orlando Bloom, [-469. -123.], 1, 9.33478869998362
sub-19, trial27, 05, Daniel Radcliffe, ID05_IM03.bmp, (550, -100), Ryan Reynolds, (-550, -100), Brad Pitt, (0, -400), Keanu Reeves, (300, 300), Robert Pattinson, (-300, 300), Daniel Radcliffe, [ 498. -114.], 1, 3.0760255999630317
sub-19, trial30, 06, Elijah Wood, ID06_IM01.bmp, (-300, 300), Brad Pitt, (0, -400), Orlando Bloom, (-550, -100), Daniel Radcliffe, (300, 300), Robert Pattinson, (550, -100), Elijah Wood, [-233.  266.], 1, 1.4786040999460965
sub-19, trial3, 05, Daniel Radcliffe, ID05_IM02.bmp, (-550, -100), Justin Timberlake, (550, -100), Robert Pattinson, (0, -400), Elijah Wood, (300, 300), Ben Affleck, (-300, 300), Daniel Radcliffe, [-440. -115.], 1, 2.75396759994328
