subject,trial,celeb_id,celeb_name,celeb_image,celeb_position,rand0_name,rand0_pos,rand1_name,rand1_pos,rand2_name,rand2_pos,rand3_name,rand3_pos,answer_celeb,answer_position,correct,rt
sub-16, trial67, 01, Ben Affleck, ID01_IM02.bmp, (300, 300), Robert Downey Jr, (0, -400), Leonardo DiCaprio, (550, -100), George Clooney, (-550, -100), Ryan Gosling, (-300, 300), familiar face, [ 33. -98.], 1, 1.887165499967523
sub-16, trial3, 15, Robert Downey Jr, ID15_IM02.bmp, (-300, 300), Daniel Craig, (550, -100), George Clooney, (0, -400), Elijah Wood, (300, 300), Ryan Gosling, (-550, -100), Robert Downey Jr, [-227.  295.], 1, 2.273942400002852
sub-16, trial9, 04, Daniel Craig, ID04_IM01.bmp, (-300, 300), Ryan Reynolds, (300, 300), Robert Downey Jr, (-550, -100), Hugh Jackman, (0, -400), George Clooney, (550, -100), Daniel Craig, [-242.  271.], 1, 7.7802045999560505
sub-16, trial55, 13, Orlando Bloom, ID13_IM02.bmp, (-550, -100), Matt Damon, (-300, 300), Ryan Gosling, (0, -400), Ryan Reynolds, (550, -100), Daniel Radcliffe, (300, 300), Orlando Bloom, [-435.  -88.], 1, 0.9709316999651492
sub-16, trial22, 04, Daniel Craig, ID04_IM02.bmp, (300, 300), Matt Damon, (0, -400), Justin Timberlake, (550, -100), Leonardo DiCaprio, (-550, -100), Ben Affleck, (-300, 300), Daniel Craig, [253. 282.], 1, 4.834143599960953
sub-16, trial36, 18, Ryan Reynolds, ID18_IM01.bmp, (550, -100), Ben Affleck, (-300, 300), Orlando Bloom, (0, -400), Elijah Wood, (300, 300), Robert Downey Jr, (-550, -100), Ryan Reynolds, [538. -78.], 1, 1.4141238000011072
sub-16, trial47, 05, Daniel Radcliffe, ID05_IM03.bmp, (300, 300), Orlando Bloom, (-550, -100), Robert Pattinson, (-300, 300), Daniel Craig, (550, -100), Matt Damon, (0, -400), Daniel Radcliffe, [310. 286.], 1, 1.459182299906388
sub-16, trial14, 03, Brad Pitt, ID03_IM03.bmp, (0, -400), Ben Affleck, (300, 300), George Clooney, (-300, 300), Ryan Reynolds, (550, -100), Matt Damon, (-550, -100), Brad Pitt, [ 155. -362.], 1, 1.8790060000028461
sub-16, trial52, 13, Orlando Bloom, ID13_IM01.bmp, (-300, 300), Robert Pattinson, (300, 300), Elijah Wood, (550, -100), Leonardo DiCaprio, (-550, -100), Ben Stiller, (0, -400), Orlando Bloom, [-189.  291.], 1, 1.4336741000879556
sub-16, trial65, 06, Elijah Wood, ID06_IM01.bmp, (300, 300), Daniel Craig, (-300, 300), Ryan Reynolds, (550, -100), Patrick Dempsey, (-550, -100), Justin Timberlake, (0, -400), familiar face, [  81. -103.], 1, 2.7740309999790043
