subject,trial,celeb_id,celeb_name,celeb_image,celeb_position,rand0_name,rand0_pos,rand1_name,rand1_pos,rand2_name,rand2_pos,rand3_name,rand3_pos,answer_celeb,answer_position,correct,rt
sub-03, trial24, 12, Matt Damon, ID12_IM02.bmp, (300, 300), Hugh Jackman, (-300, 300), Robert Downey Jr, (550, -100), Robert Pattinson, (-550, -100), Daniel Radcliffe, (0, -400), idk, [62. 54.], 0, 5.359800299978815
sub-03, trial12, 17, Ryan Gosling, ID17_IM04.bmp, (300, 300), Daniel Radcliffe, (-300, 300), Daniel Craig, (0, -400), Ben Affleck, (550, -100), Matt Damon, (-550, -100), Ryan Gosling, [327. 311.], 1, 1.4003802998922765
sub-03, trial22, 07, George Clooney, ID07_IM01.bmp, (550, -100), Orlando Bloom, (300, 300), Daniel Radcliffe, (-300, 300), Ben Affleck, (-550, -100), Justin Timberlake, (0, -400), George Clooney, [490. -58.], 1, 0.8526513000251725
sub-03, trial45, 02, Ben Stiller, ID02_IM04.bmp, (550, -100), Ben Affleck, (-550, -100), Brad Pitt, (300, 300), Daniel Craig, (0, -400), Orlando Bloom, (-300, 300), familiar face, [ -22. -115.], 1, 3.592748099938035
sub-03, trial33, 03, Brad Pitt, ID03_IM03.bmp, (-550, -100), Matt Damon, (-300, 300), Patrick Dempsey, (550, -100), Ryan Reynolds, (300, 300), Justin Timberlake, (0, -400), Brad Pitt, [-468. -136.], 1, 2.7667698999866843
sub-03, trial65, 11, Leonardo DiCaprio, ID11_IM01.bmp, (550, -100), Orlando Bloom, (300, 300), Ben Affleck, (-550, -100), Matt Damon, (-300, 300), Robert Downey Jr, (0, -400), Leonardo DiCaprio, [545. -94.], 1, 1.2871531000128016
sub-03, trial38, 06, Elijah Wood, ID06_IM01.bmp, (0, -400), Matt Damon, (550, -100), Orlando Bloom, (-550, -100), Ryan Reynolds, (300, 300), Ryan Gosling, (-300, 300), Elijah Wood, [  -1. -360.], 1, 1.8803591000614688
sub-03, trial58, 16, Robert Pattinson, ID16_IM04.bmp, (-300, 300), Keanu Reeves, (-550, -100), Robert Downey Jr, (0, -400), Daniel Radcliffe, (300, 300), Elijah Wood, (550, -100), Robert Pattinson, [-212.  270.], 1, 2.523692899965681
sub-03, trial9, 10, Keanu Reeves, ID10_IM03.bmp, (300, 300), Patrick Dempsey, (-550, -100), Daniel Radcliffe, (-300, 300), Matt Damon, (0, -400), Brad Pitt, (550, -100), idk, [18. 68.], 0, 2.051714500063099
sub-03, trial57, 12, Matt Damon, ID12_IM01.bmp, (550, -100), Patrick Dempsey, (300, 300), Justin Timberlake, (0, -400), Keanu Reeves, (-300, 300), Robert Downey Jr, (-550, -100), idk, [-16.  56.], 0, 5.5198625000193715
