subject,trial,celeb_id,celeb_name,celeb_image,celeb_position,rand0_name,rand0_pos,rand1_name,rand1_pos,rand2_name,rand2_pos,rand3_name,rand3_pos,answer_celeb,answer_position,correct,rt
sub-00, trial28, 13, Orlando Bloom, ID13_IM02.bmp, (550, -100), Keanu Reeves, (300, 300), Justin Timberlake, (-300, 300), Ryan Gosling, (-550, -100), Ben Stiller, (0, -400), Orlando Bloom, [ 519. -119.], 1, 1.432540100067854
sub-00, trial23, 09, Justin Timberlake, ID09_IM03.bmp, (-550, -100), Orlando Bloom, (550, -100), Hugh Jackman, (0, -400), Ben Affleck, (-300, 300), Daniel Craig, (300, 300), Justin Timberlake, [-506. -129.], 1, 1.7343958001583815
sub-00, trial32, 04, Daniel Craig, ID04_IM04.bmp, (300, 300), George Clooney, (-300, 300), Ryan Gosling, (550, -100), Orlando Bloom, (0, -400), Ben Stiller, (-550, -100), Daniel Craig, [284. 278.], 1, 3.8383874997962266
sub-00, trial69, 08, Hugh Jackman, ID08_IM04.bmp, (300, 300), Daniel Radcliffe, (-550, -100), Justin Timberlake, (-300, 300), Leonardo DiCaprio, (550, -100), Ryan Gosling, (0, -400), Hugh Jackman, [239. 309.], 1, 3.170634599868208
sub-00, trial35, 01, Ben Affleck, ID01_IM02.bmp, (550, -100), Hugh Jackman, (-550, -100), Robert Downey Jr, (300, 300), George Clooney, (-300, 300), Ryan Reynolds, (0, -400), Ben Affleck, [ 494. -124.], 1, 1.8738387001212686
sub-00, trial66, 03, Brad Pitt, ID03_IM01.bmp, (550, -100), Daniel Radcliffe, (-550, -100), Orlando Bloom, (-300, 300), Keanu Reeves, (0, -400), Elijah Wood, (300, 300), Brad Pitt, [490. -90.], 1, 1.73195659997873
sub-00, trial9, 01, Ben Affleck, ID01_IM03.bmp, (300, 300), Keanu Reeves, (0, -400), Brad Pitt, (-300, 300), George Clooney, (-550, -100), Justin Timberlake, (550, -100), Ben Affleck, [254. 268.], 1, 1.524615200003609
sub-00, trial1, 14, Patrick Dempsey, ID14_IM01.bmp, (550, -100), Justin Timberlake, (-550, -100), Hugh Jackman, (-300, 300), Ben Stiller, (300, 300), Robert Pattinson, (0, -400), familiar face, [  -3. -106.], 1, 1.909359300043434
sub-00, trial10, 16, Robert Pattinson, ID16_IM01.bmp, (0, -400), Orlando Bloom, (-300, 300), Ben Affleck, (550, -100), Patrick Dempsey, (-550, -100), Daniel Craig, (300, 300), Robert Pattinson, [  26. -350.], 1, 1.255799800157547
sub-00, trial51, 02, Ben Stiller, ID02_IM03.bmp, (550, -100), Robert Pattinson, (300, 300), Keanu Reeves, (0, -400), Elijah Wood, (-300, 300), Brad Pitt, (-550, -100), Ben Stiller, [ 626. -105.], 1, 2.4668823000974953
sub-00, trial20, 16, Robert Pattinson, ID16_IM03.bmp, (-300, 300), Robert Downey Jr, (550, -100), Daniel Craig, (-550, -100), Keanu Reeves, (300, 300), Ryan Reynolds, (0, -400), Robert Pattinson, [-198.  283.], 1, 3.870571600040421
sub-00, trial41, 14, Patrick Dempsey, ID14_IM04.bmp, (300, 300), Matt Damon, (550, -100), Ben Stiller, (-550, -100), Ben Affleck, (-300, 300), Justin Timberlake, (0, -400), familiar face, [ 93. -95.], 1, 1.0900139000732452
sub-00, trial15, 07, George Clooney, ID07_IM01.bmp, (0, -400), Ben Stiller, (-300, 300), Robert Downey Jr, (300, 300), Robert Pattinson, (550, -100), Justin Timberlake, (-550, -100), George Clooney, [   9. -396.], 1, 2.332193900132552
sub-00, trial33, 06, Elijah Wood, ID06_IM02.bmp, (550, -100), Daniel Radcliffe, (0, -400), Hugh Jackman, (300, 300), Orlando Bloom, (-300, 300), Matt Damon, (-550, -100), familiar face, [  -2. -131.], 1, 0.7487002001143992
sub-00, trial44, 02, Ben Stiller, ID02_IM01.bmp, (-300, 300), Orlando Bloom, (300, 300), Justin Timberlake, (550, -100), Robert Pattinson, (-550, -100), Leonardo DiCaprio, (0, -400), Ben Stiller, [-168.  292.], 1, 1.5972728999331594
sub-00, trial61, 17, Ryan Gosling, ID17_IM04.bmp, (-300, 300), Patrick Dempsey, (0, -400), Leonardo DiCaprio, (550, -100), Daniel Craig, (-550, -100), Ben Affleck, (300, 300), Ryan Gosling, [-258.  264.], 1, 3.5629131000023335
sub-00, trial65, 15, Robert Downey Jr, ID15_IM04.bmp, (300, 300), Daniel Craig, (0, -400), Ryan Reynolds, (550, -100), Elijah Wood, (-300, 300), Ben Affleck, (-550, -100), Robert Downey Jr, [271. 307.], 1, 2.19459870015271
sub-00, trial4, 08, Hugh Jackman, ID08_IM02.bmp, (-300, 300), Leonardo DiCaprio, (-550, -100), Ben Affleck, (0, -400), Ryan Gosling, (300, 300), Robert Downey Jr, (550, -100), familiar face, [   9. -114.], 1, 1.9775773999281228
sub-00, trial34, 17, Ryan Gosling, ID17_IM02.bmp, (0, -400), Brad Pitt, (550, -100), Hugh Jackman, (-300, 300), Orlando Bloom, (300, 300), Ben Affleck, (-550, -100), Ryan Gosling, [ -22. -378.], 1, 1.9752901999745518
sub-00, trial38, 15, Robert Downey Jr, ID15_IM03.bmp, (-550, -100), Matt Damon, (550, -100), Elijah Wood, (0, -400), George Clooney, (300, 300), Ryan Reynolds, (-300, 300), Robert Downey Jr, [-444. -122.], 1, 0.9430911999661475
sub-00, trial13, 04, Daniel Craig, ID04_IM03.bmp, (-300, 300), Justin Timberlake, (0, -400), Ben Affleck, (300, 300), Ryan Reynolds, (-550, -100), Daniel Radcliffe, (550, -100), Daniel Craig, [-165.  260.], 1, 1.0629394999705255
sub-00, trial22, 13, Orlando Bloom, ID13_IM01.bmp, (550, -100), George Clooney, (-300, 300), Ben Affleck, (-550, -100), Keanu Reeves, (0, -400), Hugh Jackman, (300, 300), Orlando Bloom, [458. -85.], 1, 2.274636199930683
sub-00, trial53, 18, Ryan Reynolds, ID18_IM03.bmp, (-300, 300), Brad Pitt, (550, -100), Leonardo DiCaprio, (300, 300), Ben Affleck, (0, -400), Daniel Radcliffe, (-550, -100), Ryan Reynolds, [-240.  280.], 1, 4.72571499994956
sub-00, trial62, 10, Keanu Reeves, ID10_IM04.bmp, (-300, 300), Patrick Dempsey, (550, -100), Ben Affleck, (300, 300), Leonardo DiCaprio, (0, -400), Robert Pattinson, (-550, -100), familiar face, [ 37. -97.], 1, 1.1742960000410676
sub-00, trial57, 14, Patrick Dempsey, ID14_IM02.bmp, (300, 300), Daniel Craig, (-300, 300), Ryan Gosling, (550, -100), Matt Damon, (-550, -100), Ben Affleck, (0, -400), Patrick Dempsey, [245. 309.], 1, 1.533223700011149
sub-00, trial45, 08, Hugh Jackman, ID08_IM03.bmp, (-550, -100), Orlando Bloom, (550, -100), Robert Downey Jr, (300, 300), Keanu Reeves, (-300, 300), Justin Timberlake, (0, -400), Hugh Jackman, [-439.  -91.], 1, 2.830255600158125
sub-00, trial67, 03, Brad Pitt, ID03_IM03.bmp, (300, 300), Orlando Bloom, (-300, 300), Daniel Craig, (-550, -100), Daniel Radcliffe, (0, -400), Robert Pattinson, (550, -100), Brad Pitt, [442. 299.], 1, 0.9306295998394489
sub-00, trial24, 18, Ryan Reynolds, ID18_IM02.bmp, (-550, -100), Orlando Bloom, (550, -100), Brad Pitt, (0, -400), Robert Downey Jr, (300, 300), Ben Stiller, (-300, 300), familiar face, [-47. -89.], 1, 1.8196568000130355
sub-00, trial25, 11, Leonardo DiCaprio, ID11_IM01.bmp, (-550, -100), Robert Downey Jr, (550, -100), Ryan Gosling, (300, 300), Orlando Bloom, (-300, 300), Daniel Radcliffe, (0, -400), Leonardo DiCaprio, [-442. -110.], 1, 2.1608431001659483
sub-00, trial68, 06, Elijah Wood, ID06_IM04.bmp, (550, -100), Patrick Dempsey, (-550, -100), Robert Downey Jr, (0, -400), Ben Affleck, (300, 300), Ryan Reynolds, (-300, 300), Elijah Wood, [ 463. -110.], 1, 3.328370900126174
sub-00, trial47, 07, George Clooney, ID07_IM04.bmp, (-550, -100), Ben Affleck, (300, 300), Ryan Gosling, (0, -400), Keanu Reeves, (-300, 300), Patrick Dempsey, (550, -100), George Clooney, [-437. -102.], 1, 1.5213218999560922
sub-00, trial26, 08, Hugh Jackman, ID08_IM01.bmp, (-300, 300), Keanu Reeves, (550, -100), Robert Downey Jr, (0, -400), Elijah Wood, (300, 300), Patrick Dempsey, (-550, -100), familiar face, [ -18. -146.], 1, 1.5624645000789315
sub-00, trial71, 12, Matt Damon, ID12_IM01.bmp, (-300, 300), Robert Pattinson, (550, -100), Ryan Reynolds, (300, 300), Ben Affleck, (-550, -100), Patrick Dempsey, (0, -400), Matt Damon, [-242.  308.], 1, 1.154169199988246
sub-00, trial16, 11, Leonardo DiCaprio, ID11_IM03.bmp, (-300, 300), Ben Stiller, (550, -100), Matt Damon, (-550, -100), Elijah Wood, (0, -400), Robert Pattinson, (300, 300), Leonardo DiCaprio, [-280.  294.], 1, 1.1864499000366777
sub-00, trial52, 15, Robert Downey Jr, ID15_IM02.bmp, (550, -100), Ryan Reynolds, (-300, 300), Justin Timberlake, (300, 300), Keanu Reeves, (-550, -100), Daniel Craig, (0, -400), Robert Downey Jr, [ 529. -100.], 1, 1.056999099906534
sub-00, trial70, 01, Ben Affleck, ID01_IM01.bmp, (-550, -100), Brad Pitt, (0, -400), Ryan Reynolds, (550, -100), Robert Pattinson, (-300, 300), George Clooney, (300, 300), Ben Affleck, [-488.  -91.], 1, 1.6292226000223309
sub-00, trial11, 10, Keanu Reeves, ID10_IM01.bmp, (0, -400), Justin Timberlake, (-300, 300), George Clooney, (300, 300), Daniel Radcliffe, (550, -100), Brad Pitt, (-550, -100), Keanu Reeves, [  27. -443.], 1, 2.066238700179383
sub-00, trial27, 10, Keanu Reeves, ID10_IM02.bmp, (-300, 300), Daniel Craig, (0, -400), Robert Downey Jr, (550, -100), Robert Pattinson, (300, 300), George Clooney, (-550, -100), Keanu Reeves, [-190.  292.], 1, 2.653246099827811
sub-00, trial3, 04, Daniel Craig, ID04_IM01.bmp, (-300, 300), Ben Stiller, (550, -100), Ryan Gosling, (300, 300), Hugh Jackman, (-550, -100), Justin Timberlake, (0, -400), Daniel Craig, [-224.  292.], 1, 1.5615737000480294
