subject,trial,celeb_id,celeb_name,celeb_image,celeb_position,rand0_name,rand0_pos,rand1_name,rand1_pos,rand2_name,rand2_pos,rand3_name,rand3_pos,answer_celeb,answer_position,correct,rt
sub-15, trial49, 06, Elijah Wood, ID06_IM02.bmp, (550, -100), Matt Damon, (0, -400), Robert Pattinson, (-550, -100), Justin Timberlake, (-300, 300), Robert Downey Jr, (300, 300), Elijah Wood, [527. -86.], 1, 1.4241821999894455
sub-15, trial52, 08, Hugh Jackman, ID08_IM04.bmp, (300, 300), Daniel Craig, (0, -400), Justin Timberlake, (550, -100), Ben Stiller, (-300, 300), Leonardo DiCaprio, (-550, -100), Hugh Jackman, [422. 302.], 1, 3.6603589999722317
sub-15, trial10, 11, Leonardo DiCaprio, ID11_IM04.bmp, (550, -100), Brad Pitt, (-550, -100), Ryan Reynolds, (-300, 300), Elijah Wood, (0, -400), George Clooney, (300, 300), Leonardo DiCaprio, [ 553. -100.], 1, 1.5361820999532938
sub-15, trial63, 09, Justin Timberlake, ID09_IM04.bmp, (550, -100), Ryan Reynolds, (-300, 300), Robert Pattinson, (0, -400), Ben Affleck, (-550, -100), Orlando Bloom, (300, 300), Justin Timberlake, [ 519. -109.], 1, 4.560531300026923
sub-15, trial57, 09, Justin Timberlake, ID09_IM03.bmp, (300, 300), Ryan Reynolds, (-550, -100), Ryan Gosling, (0, -400), Robert Pattinson, (-300, 300), Ben Affleck, (550, -100), Justin Timberlake, [278. 284.], 1, 1.1357035000110045
sub-15, trial24, 14, Patrick Dempsey, ID14_IM02.bmp, (550, -100), Orlando Bloom, (-300, 300), Robert Pattinson, (300, 300), Ben Affleck, (-550, -100), Leonardo DiCaprio, (0, -400), Patrick Dempsey, [ 529. -100.], 1, 1.904196900082752
sub-15, trial71, 15, Robert Downey Jr, ID15_IM04.bmp, (550, -100), Leonardo DiCaprio, (0, -400), Orlando Bloom, (300, 300), George Clooney, (-550, -100), Robert Pattinson, (-300, 300), Robert Downey Jr, [ 544. -116.], 1, 2.402401299914345
sub-15, trial66, 12, Matt Damon, ID12_IM03.bmp, (300, 300), Patrick Dempsey, (-300, 300), Hugh Jackman, (550, -100), Justin Timberlake, (0, -400), Ben Affleck, (-550, -100), Matt Damon, [383. 280.], 1, 1.2954154999461025
sub-15, trial1, 06, Elijah Wood, ID06_IM04.bmp, (0, -400), Ben Stiller, (550, -100), Ryan Gosling, (-550, -100), Keanu Reeves, (300, 300), George Clooney, (-300, 300), Elijah Wood, [ 110. -432.], 1, 1.6258280000183731
sub-15, trial3, 10, Keanu Reeves, ID10_IM02.bmp, (550, -100), Matt Damon, (-550, -100), Ben Stiller, (0, -400), Robert Pattinson, (-300, 300), Leonardo DiCaprio, (300, 300), Keanu Reeves, [ 459. -113.], 1, 1.572399799944833
sub-15, trial70, 06, Elijah Wood, ID06_IM03.bmp, (550, -100), Leonardo DiCaprio, (0, -400), Brad Pitt, (-300, 300), George Clooney, (-550, -100), Orlando Bloom, (300, 300), Elijah Wood, [ 557. -135.], 1, 1.7496257000602782
sub-15, trial44, 09, Justin Timberlake, ID09_IM01.bmp, (-550, -100), Robert Downey Jr, (-300, 300), Leonardo DiCaprio, (0, -400), Matt Damon, (550, -100), Brad Pitt, (300, 300), Justin Timberlake, [-501. -122.], 1, 5.0290224000345916
sub-15, trial4, 03, Brad Pitt, ID03_IM01.bmp, (-300, 300), Daniel Craig, (0, -400), George Clooney, (300, 300), Keanu Reeves, (-550, -100), Hugh Jackman, (550, -100), Brad Pitt, [-342.  277.], 1, 1.3694785999832675
sub-15, trial9, 07, George Clooney, ID07_IM02.bmp, (-550, -100), Ryan Gosling, (300, 300), Leonardo DiCaprio, (550, -100), Ben Stiller, (-300, 300), Brad Pitt, (0, -400), George Clooney, [-444. -109.], 1, 2.321279800031334
sub-15, trial30, 13, Orlando Bloom, ID13_IM01.bmp, (-300, 300), Robert Pattinson, (300, 300), Matt Damon, (550, -100), Keanu Reeves, (0, -400), Daniel Radcliffe, (-550, -100), Orlando Bloom, [-274.  312.], 1, 0.785117799998261
sub-15, trial61, 10, Keanu Reeves, ID10_IM04.bmp, (-300, 300), Robert Pattinson, (300, 300), Ben Affleck, (-550, -100), Robert Downey Jr, (550, -100), Ryan Reynolds, (0, -400), Keanu Reeves, [-249.  289.], 1, 1.4634151000063866
sub-15, trial15, 16, Robert Pattinson, ID16_IM03.bmp, (0, -400), Justin Timberlake, (-300, 300), Brad Pitt, (550, -100), George Clooney, (300, 300), Daniel Radcliffe, (-550, -100), Robert Pattinson, [ -23. -424.], 1, 1.5705605000257492
sub-15, trial48, 10, Keanu Reeves, ID10_IM03.bmp, (-300, 300), George Clooney, (550, -100), Daniel Craig, (-550, -100), Ryan Reynolds, (300, 300), Ryan Gosling, (0, -400), Keanu Reeves, [-265.  271.], 1, 1.0653665999416262
sub-15, trial54, 14, Patrick Dempsey, ID14_IM04.bmp, (0, -400), Orlando Bloom, (300, 300), Daniel Craig, (-300, 300), Ben Affleck, (550, -100), Ben Stiller, (-550, -100), Patrick Dempsey, [  63. -395.], 1, 1.7729189998935908
sub-15, trial53, 08, Hugh Jackman, ID08_IM01.bmp, (300, 300), George Clooney, (-550, -100), Keanu Reeves, (-300, 300), Brad Pitt, (550, -100), Justin Timberlake, (0, -400), Hugh Jackman, [317. 268.], 1, 4.37215109996032
sub-15, trial25, 01, Ben Affleck, ID01_IM03.bmp, (550, -100), Orlando Bloom, (-300, 300), George Clooney, (-550, -100), Elijah Wood, (300, 300), Leonardo DiCaprio, (0, -400), familiar face, [   4. -118.], 1, 5.915124399936758
sub-15, trial27, 15, Robert Downey Jr, ID15_IM01.bmp, (-550, -100), Brad Pitt, (-300, 300), Orlando Bloom, (0, -400), Leonardo DiCaprio, (300, 300), Ryan Gosling, (550, -100), Robert Downey Jr, [-527. -104.], 1, 1.3486364999553189
sub-15, trial31, 07, George Clooney, ID07_IM03.bmp, (300, 300), Orlando Bloom, (-550, -100), Brad Pitt, (550, -100), Ryan Gosling, (-300, 300), Matt Damon, (0, -400), George Clooney, [342. 315.], 1, 2.2444736000616103
sub-15, trial68, 11, Leonardo DiCaprio, ID11_IM03.bmp, (-300, 300), Daniel Radcliffe, (550, -100), Hugh Jackman, (-550, -100), George Clooney, (300, 300), Ryan Reynolds, (0, -400), Leonardo DiCaprio, [-181.  297.], 1, 1.4651825000764802
sub-15, trial60, 01, Ben Affleck, ID01_IM01.bmp, (300, 300), Robert Downey Jr, (0, -400), Daniel Craig, (-550, -100), Matt Damon, (550, -100), Elijah Wood, (-300, 300), familiar face, [  92. -113.], 1, 1.4764058999717236
sub-15, trial43, 04, Daniel Craig, ID04_IM02.bmp, (-300, 300), Justin Timberlake, (300, 300), Matt Damon, (0, -400), Ryan Gosling, (550, -100), Robert Downey Jr, (-550, -100), Daniel Craig, [-201.  282.], 1, 1.2947149999672547
sub-15, trial50, 14, Patrick Dempsey, ID14_IM03.bmp, (0, -400), Leonardo DiCaprio, (-550, -100), Robert Pattinson, (-300, 300), Brad Pitt, (550, -100), Justin Timberlake, (300, 300), Patrick Dempsey, [  50. -395.], 1, 2.2408181000500917
sub-15, trial7, 04, Daniel Craig, ID04_IM03.bmp, (0, -400), Elijah Wood, (300, 300), Patrick Dempsey, (550, -100), Keanu Reeves, (-300, 300), Ryan Gosling, (-550, -100), Daniel Craig, [  51. -385.], 1, 2.052579600014724
sub-15, trial41, 13, Orlando Bloom, ID13_IM04.bmp, (-300, 300), Keanu Reeves, (-550, -100), Ben Stiller, (300, 300), Patrick Dempsey, (550, -100), Justin Timberlake, (0, -400), Orlando Bloom, [-181.  281.], 1, 1.0964921000413597
sub-15, trial62, 13, Orlando Bloom, ID13_IM03.bmp, (550, -100), George Clooney, (-300, 300), Justin Timberlake, (-550, -100), Ryan Gosling, (300, 300), Daniel Radcliffe, (0, -400), Orlando Bloom, [465. -77.], 1, 1.9544271000195295
