subject,trial,celeb_id,celeb_name,celeb_image,celeb_position,rand0_name,rand0_pos,rand1_name,rand1_pos,rand2_name,rand2_pos,rand3_name,rand3_pos,answer_celeb,answer_position,correct,rt
sub-07, trial69, 17, Ryan Gosling, ID17_IM01.bmp, (550, -100), Robert Pattinson, (-300, 300), Daniel Craig, (-550, -100), Elijah Wood, (0, -400), Matt Damon, (300, 300), Ryan Gosling, [ 429. -107.], 1, 1.3782693999819458
sub-07, trial5, 11, Leonardo DiCaprio, ID11_IM03.bmp, (-300, 300), Patrick Dempsey, (550, -100), Ryan Reynolds, (-550, -100), Hugh Jackman, (300, 300), Keanu Reeves, (0, -400), Leonardo DiCaprio, [-261.  279.], 1, 1.1542853999417275
sub-07, trial17, 18, Ryan Reynolds, ID18_IM01.bmp, (-300, 300), Robert Downey Jr, (0, -400), Brad Pitt, (-550, -100), Daniel Radcliffe, (550, -100), Keanu Reeves, (300, 300), Ryan Reynolds, [-197.  283.], 1, 1.2243284999858588
sub-07, trial39, 14, Patrick Dempsey, ID14_IM03.bmp, (-300, 300), Ben Stiller, (-550, -100), Justin Timberlake, (0, -400), Ryan Reynolds, (550, -100), Keanu Reeves, (300, 300), Patrick Dempsey, [-241.  280.], 1, 1.093988100066781
sub-07, trial53, 06, Elijah Wood, ID06_IM03.bmp, (0, -400), Robert Pattinson, (550, -100), Matt Damon, (300, 300), Justin Timberlake, (-300, 300), Daniel Radcliffe, (-550, -100), Elijah Wood, [ 142. -398.], 1, 1.9358908999711275
sub-07, trial42, 07, George Clooney, ID07_IM01.bmp, (-550, -100), Daniel Craig, (-300, 300), Leonardo DiCaprio, (300, 300), Daniel Radcliffe, (0, -400), Patrick Dempsey, (550, -100), George Clooney, [-419. -107.], 1, 1.0715491001028568
sub-07, trial9, 01, Ben Affleck, ID01_IM03.bmp, (0, -400), Elijah Wood, (-550, -100), George Clooney, (-300, 300), Ryan Reynolds, (300, 300), Brad Pitt, (550, -100), Ben Affleck, [ -23. -405.], 1, 2.1554292999207973
sub-07, trial8, 18, Ryan Reynolds, ID18_IM03.bmp, (300, 300), Brad Pitt, (550, -100), Leonardo DiCaprio, (-300, 300), Daniel Radcliffe, (-550, -100), Keanu Reeves, (0, -400), Ryan Reynolds, [240. 265.], 1, 1.9633666998706758
sub-07, trial41, 11, Leonardo DiCaprio, ID11_IM01.bmp, (550, -100), Robert Downey Jr, (300, 300), Ben Stiller, (0, -400), Ryan Gosling, (-300, 300), Elijah Wood, (-550, -100), Leonardo DiCaprio, [ 445. -123.], 1, 1.5863235997967422
sub-07, trial57, 12, Matt Damon, ID12_IM01.bmp, (-550, -100), Robert Downey Jr, (300, 300), Orlando Bloom, (0, -400), Elijah Wood, (550, -100), Brad Pitt, (-300, 300), Matt Damon, [-430.  -80.], 1, 1.1525787999853492
sub-07, trial18, 15, Robert Downey Jr, ID15_IM02.bmp, (0, -400), George Clooney, (550, -100), Daniel Craig, (-550, -100), Orlando Bloom, (-300, 300), Elijah Wood, (300, 300), Robert Downey Jr, [  22. -385.], 1, 1.3687903999816626
sub-07, trial36, 16, Robert Pattinson, ID16_IM04.bmp, (0, -400), Patrick Dempsey, (-550, -100), Justin Timberlake, (300, 300), Keanu Reeves, (550, -100), Robert Downey Jr, (-300, 300), Robert Pattinson, [ 107. -374.], 1, 2.8159031001850963
sub-07, trial60, 04, Daniel Craig, ID04_IM01.bmp, (0, -400), Ben Stiller, (300, 300), Robert Pattinson, (-550, -100), Ben Affleck, (-300, 300), Hugh Jackman, (550, -100), Daniel Craig, [ 131. -365.], 1, 2.9496466000564396
sub-07, trial13, 11, Leonardo DiCaprio, ID11_IM02.bmp, (0, -400), Justin Timberlake, (-550, -100), Ryan Reynolds, (-300, 300), Daniel Craig, (300, 300), Hugh Jackman, (550, -100), Leonardo DiCaprio, [ -97. -424.], 1, 1.9499576999805868
sub-07, trial40, 07, George Clooney, ID07_IM02.bmp, (300, 300), Hugh Jackman, (-300, 300), Ben Stiller, (550, -100), Brad Pitt, (-550, -100), Robert Downey Jr, (0, -400), George Clooney, [192. 277.], 1, 1.3733820000197738
sub-07, trial29, 09, Justin Timberlake, ID09_IM04.bmp, (-550, -100), Daniel Radcliffe, (-300, 300), Brad Pitt, (0, -400), Robert Pattinson, (300, 300), Leonardo DiCaprio, (550, -100), Justin Timberlake, [-411. -121.], 1, 1.8609440000727773
sub-07, trial44, 17, Ryan Gosling, ID17_IM02.bmp, (-550, -100), Daniel Craig, (0, -400), Daniel Radcliffe, (-300, 300), Ben Affleck, (300, 300), Keanu Reeves, (550, -100), Ryan Gosling, [-415. -121.], 1, 2.4564332000445575
sub-07, trial11, 03, Brad Pitt, ID03_IM03.bmp, (300, 300), Orlando Bloom, (-300, 300), Matt Damon, (550, -100), Keanu Reeves, (0, -400), Elijah Wood, (-550, -100), Brad Pitt, [193. 282.], 1, 1.5154770999215543
sub-07, trial22, 10, Keanu Reeves, ID10_IM02.bmp, (300, 300), Matt Damon, (550, -100), Justin Timberlake, (0, -400), Leonardo DiCaprio, (-550, -100), George Clooney, (-300, 300), Keanu Reeves, [231. 310.], 1, 2.5087595998775214
sub-07, trial62, 04, Daniel Craig, ID04_IM02.bmp, (0, -400), Ben Affleck, (-300, 300), Robert Pattinson, (550, -100), Ryan Gosling, (-550, -100), Keanu Reeves, (300, 300), Daniel Craig, [  60. -384.], 1, 1.8537263998296112
sub-07, trial26, 06, Elijah Wood, ID06_IM04.bmp, (300, 300), Ben Stiller, (-550, -100), Orlando Bloom, (0, -400), Matt Damon, (-300, 300), Daniel Radcliffe, (550, -100), Elijah Wood, [191. 285.], 1, 1.0336957001127303
sub-07, trial67, 01, Ben Affleck, ID01_IM04.bmp, (0, -400), Keanu Reeves, (-550, -100), Matt Damon, (300, 300), Patrick Dempsey, (-300, 300), Ryan Gosling, (550, -100), Ben Affleck, [   2. -382.], 1, 1.9259915000293404
sub-07, trial27, 06, Elijah Wood, ID06_IM01.bmp, (300, 300), Orlando Bloom, (550, -100), Brad Pitt, (-300, 300), Keanu Reeves, (0, -400), Leonardo DiCaprio, (-550, -100), Elijah Wood, [205. 313.], 1, 0.9190970999188721
sub-07, trial32, 05, Daniel Radcliffe, ID05_IM01.bmp, (-300, 300), Elijah Wood, (550, -100), Ben Stiller, (0, -400), Robert Downey Jr, (300, 300), Orlando Bloom, (-550, -100), Daniel Radcliffe, [-213.  281.], 1, 0.7124109000433236
sub-07, trial51, 11, Leonardo DiCaprio, ID11_IM04.bmp, (550, -100), Ben Stiller, (0, -400), Elijah Wood, (300, 300), Brad Pitt, (-550, -100), Keanu Reeves, (-300, 300), Leonardo DiCaprio, [ 415. -109.], 1, 1.2739661000669003
sub-07, trial64, 01, Ben Affleck, ID01_IM01.bmp, (-550, -100), Robert Pattinson, (550, -100), Robert Downey Jr, (300, 300), Daniel Radcliffe, (-300, 300), Daniel Craig, (0, -400), Ben Affleck, [-415. -101.], 1, 1.341153800021857
sub-07, trial55, 17, Ryan Gosling, ID17_IM04.bmp, (-300, 300), Daniel Radcliffe, (-550, -100), Justin Timberlake, (550, -100), Matt Damon, (300, 300), Ben Affleck, (0, -400), Ryan Gosling, [-253.  289.], 1, 2.228682699846104
sub-07, trial47, 07, George Clooney, ID07_IM04.bmp, (-300, 300), Ben Stiller, (550, -100), Ryan Reynolds, (0, -400), Robert Downey Jr, (-550, -100), Brad Pitt, (300, 300), George Clooney, [-278.  265.], 1, 1.993694799952209
sub-07, trial37, 02, Ben Stiller, ID02_IM03.bmp, (-300, 300), Ben Affleck, (300, 300), Leonardo DiCaprio, (-550, -100), Robert Downey Jr, (0, -400), Daniel Radcliffe, (550, -100), Ben Stiller, [-379.  288.], 1, 2.4557991998735815
sub-07, trial20, 05, Daniel Radcliffe, ID05_IM03.bmp, (-550, -100), George Clooney, (-300, 300), Matt Damon, (550, -100), Robert Pattinson, (300, 300), Hugh Jackman, (0, -400), Daniel Radcliffe, [-388. -119.], 1, 1.1807484000455588
sub-07, trial70, 16, Robert Pattinson, ID16_IM01.bmp, (0, -400), Brad Pitt, (-550, -100), Hugh Jackman, (300, 300), Ben Affleck, (550, -100), Robert Downey Jr, (-300, 300), Robert Pattinson, [  69. -375.], 1, 1.8831752999685705
sub-07, trial34, 03, Brad Pitt, ID03_IM02.bmp, (-300, 300), Matt Damon, (-550, -100), Patrick Dempsey, (0, -400), Ben Stiller, (300, 300), Ryan Reynolds, (550, -100), Brad Pitt, [-354.  275.], 1, 1.204896999988705
sub-07, trial54, 12, Matt Damon, ID12_IM03.bmp, (550, -100), George Clooney, (-550, -100), Daniel Radcliffe, (0, -400), Robert Pattinson, (-300, 300), Leonardo DiCaprio, (300, 300), Matt Damon, [ 432. -102.], 1, 1.2516191999893636
sub-07, trial4, 18, Ryan Reynolds, ID18_IM02.bmp, (-300, 300), Daniel Radcliffe, (-550, -100), Elijah Wood, (0, -400), Ryan Gosling, (550, -100), George Clooney, (300, 300), Ryan Reynolds, [-327.  283.], 1, 1.1987591001670808
sub-07, trial25, 10, Keanu Reeves, ID10_IM04.bmp, (-550, -100), Ryan Reynolds, (0, -400), Ben Affleck, (550, -100), Justin Timberlake, (-300, 300), Orlando Bloom, (300, 300), Keanu Reeves, [-396.  -73.], 1, 1.068037400022149
sub-07, trial59, 10, Keanu Reeves, ID10_IM03.bmp, (-550, -100), Ryan Reynolds, (300, 300), Orlando Bloom, (0, -400), Brad Pitt, (550, -100), Robert Pattinson, (-300, 300), Keanu Reeves, [-387.  -81.], 1, 2.1909777000546455
sub-07, trial35, 14, Patrick Dempsey, ID14_IM04.bmp, (0, -400), Ryan Reynolds, (550, -100), Daniel Craig, (-300, 300), Brad Pitt, (-550, -100), Leonardo DiCaprio, (300, 300), Patrick Dempsey, [-103. -421.], 1, 1.645306299906224
