subject,trial,celeb_id,celeb_name,celeb_image,celeb_position,rand0_name,rand0_pos,rand1_name,rand1_pos,rand2_name,rand2_pos,rand3_name,rand3_pos,answer_celeb,answer_position,correct,rt
sub-05, trial34, 17, Ryan Gosling, ID17_IM01.bmp, (0, -400), Ben Affleck, (-550, -100), Leonardo DiCaprio, (-300, 300), Robert Pattinson, (550, -100), Justin Timberlake, (300, 300), Ryan Gosling, [ -23. -378.], 1, 4.134757400024682
sub-05, trial70, 10, Keanu Reeves, ID10_IM03.bmp, (-300, 300), Elijah Wood, (300, 300), Hugh Jackman, (0, -400), George Clooney, (550, -100), Robert Pattinson, (-550, -100), Keanu Reeves, [-276.  275.], 1, 1.0156215000897646
sub-05, trial25, 18, Ryan Reynolds, ID18_IM02.bmp, (-550, -100), Ryan Gosling, (0, -400), Patrick Dempsey, (-300, 300), Robert Pattinson, (300, 300), Orlando Bloom, (550, -100), Ryan Reynolds, [-462. -105.], 1, 3.980495899915695
sub-05, trial11, 14, Patrick Dempsey, ID14_IM01.bmp, (300, 300), Matt Damon, (0, -400), Keanu Reeves, (550, -100), George Clooney, (-550, -100), Ryan Reynolds, (-300, 300), idk, [-26.  44.], 0, 1.2912223997991532
sub-05, trial31, 07, George Clooney, ID07_IM01.bmp, (-550, -100), Hugh Jackman, (-300, 300), Daniel Craig, (550, -100), Justin Timberlake, (300, 300), Ben Stiller, (0, -400), George Clooney, [-426.  -84.], 1, 1.644492099992931
sub-05, trial35, 04, Daniel Craig, ID04_IM02.bmp, (300, 300), Hugh Jackman, (-300, 300), Daniel Radcliffe, (550, -100), Patrick Dempsey, (-550, -100), Orlando Bloom, (0, -400), Daniel Craig, [209. 303.], 1, 1.296984100015834
sub-05, trial26, 12, Matt Damon, ID12_IM01.bmp, (-550, -100), Ryan Gosling, (300, 300), Daniel Craig, (-300, 300), Robert Downey Jr, (550, -100), Orlando Bloom, (0, -400), Matt Damon, [-413. -116.], 1, 1.7710404999088496
sub-05, trial64, 08, Hugh Jackman, ID08_IM04.bmp, (550, -100), Ben Affleck, (0, -400), Robert Pattinson, (-300, 300), Ben Stiller, (300, 300), Robert Downey Jr, (-550, -100), Hugh Jackman, [430. -78.], 1, 1.5862150001339614
sub-05, trial55, 05, Daniel Radcliffe, ID05_IM02.bmp, (-300, 300), Matt Damon, (300, 300), Brad Pitt, (-550, -100), Keanu Reeves, (0, -400), Robert Pattinson, (550, -100), Daniel Radcliffe, [-280.  294.], 1, 0.7443464000243694
sub-05, trial69, 03, Brad Pitt, ID03_IM04.bmp, (0, -400), Robert Pattinson, (550, -100), Keanu Reeves, (-300, 300), Hugh Jackman, (300, 300), Ben Stiller, (-550, -100), Brad Pitt, [ -28. -391.], 1, 1.8726611000020057
sub-05, trial67, 15, Robert Downey Jr, ID15_IM03.bmp, (300, 300), Patrick Dempsey, (0, -400), Leonardo DiCaprio, (-550, -100), Daniel Radcliffe, (-300, 300), Elijah Wood, (550, -100), Robert Downey Jr, [216. 281.], 1, 1.3881920001003891
sub-05, trial24, 14, Patrick Dempsey, ID14_IM03.bmp, (0, -400), Ryan Gosling, (550, -100), Leonardo DiCaprio, (-550, -100), Orlando Bloom, (-300, 300), Ben Stiller, (300, 300), idk, [-17.  58.], 0, 1.3462179000489414
sub-05, trial5, 17, Ryan Gosling, ID17_IM04.bmp, (300, 300), Robert Pattinson, (-300, 300), Daniel Radcliffe, (0, -400), Orlando Bloom, (550, -100), Justin Timberlake, (-550, -100), Ryan Gosling, [313. 290.], 1, 2.506305400049314
sub-05, trial65, 17, Ryan Gosling, ID17_IM02.bmp, (-300, 300), Robert Downey Jr, (0, -400), Ben Affleck, (300, 300), Ryan Reynolds, (550, -100), Leonardo DiCaprio, (-550, -100), Ryan Gosling, [-226.  288.], 1, 4.812847200082615
sub-05, trial7, 01, Ben Affleck, ID01_IM01.bmp, (-550, -100), Robert Pattinson, (-300, 300), Keanu Reeves, (0, -400), Robert Downey Jr, (300, 300), Hugh Jackman, (550, -100), Ben Affleck, [-405. -112.], 1, 2.025356100173667
sub-05, trial6, 14, Patrick Dempsey, ID14_IM02.bmp, (550, -100), Orlando Bloom, (0, -400), Robert Pattinson, (300, 300), Hugh Jackman, (-550, -100), Robert Downey Jr, (-300, 300), idk, [-3. 52.], 0, 0.8382508000358939
sub-05, trial18, 02, Ben Stiller, ID02_IM02.bmp, (-300, 300), Ben Affleck, (300, 300), Matt Damon, (550, -100), Robert Pattinson, (0, -400), Hugh Jackman, (-550, -100), familiar face, [ 24. -88.], 1, 1.2425340998452157
sub-05, trial23, 09, Justin Timberlake, ID09_IM01.bmp, (-300, 300), Daniel Radcliffe, (300, 300), Keanu Reeves, (550, -100), George Clooney, (-550, -100), Patrick Dempsey, (0, -400), Justin Timberlake, [-306.  303.], 1, 2.9584469001274556
sub-05, trial54, 14, Patrick Dempsey, ID14_IM04.bmp, (550, -100), Ben Stiller, (0, -400), Ben Affleck, (-550, -100), Elijah Wood, (300, 300), Daniel Craig, (-300, 300), idk, [-8. 53.], 0, 1.1745088000316173
sub-05, trial40, 06, Elijah Wood, ID06_IM04.bmp, (-300, 300), Daniel Radcliffe, (0, -400), Ben Affleck, (550, -100), Orlando Bloom, (300, 300), Leonardo DiCaprio, (-550, -100), Elijah Wood, [-218.  285.], 1, 1.452804199885577
