subject,trial,celeb_id,celeb_name,celeb_image,celeb_position,rand0_name,rand0_pos,rand1_name,rand1_pos,rand2_name,rand2_pos,rand3_name,rand3_pos,answer_celeb,answer_position,correct,rt
sub-20, trial72, 01, Ben Affleck, ID01_IM01.bmp, (550, -100), Robert Pattinson, (-550, -100), Daniel Craig, (-300, 300), Robert Downey Jr, (300, 300), Leonardo DiCaprio, (0, -400), familiar face, [ 129. -137.], 1, 1.3599499999545515
sub-20, trial55, 17, Ryan Gosling, ID17_IM01.bmp, (550, -100), Brad Pitt, (-300, 300), Orlando Bloom, (0, -400), Elijah Wood, (300, 300), George Clooney, (-550, -100), Ryan Gosling, [476. -99.], 1, 1.543854699935764
sub-20, trial26, 09, Justin Timberlake, ID09_IM04.bmp, (-300, 300), Patrick Dempsey, (0, -400), Ben Stiller, (-550, -100), Ben Affleck, (550, -100), Brad Pitt, (300, 300), familiar face, [ 151. -127.], 1, 1.3271451001055539
sub-20, trial45, 15, Robert Downey Jr, ID15_IM02.bmp, (-550, -100), Hugh Jackman, (550, -100), George Clooney, (300, 300), Ben Affleck, (-300, 300), Patrick Dempsey, (0, -400), Robert Downey Jr, [-424. -102.], 1, 1.74314829998184
sub-20, trial10, 06, Elijah Wood, ID06_IM02.bmp, (550, -100), Hugh Jackman, (0, -400), Ryan Gosling, (-550, -100), Ben Affleck, (-300, 300), Ben Stiller, (300, 300), familiar face, [ 101. -125.], 1, 7.823554800008424
sub-20, trial63, 16, Robert Pattinson, ID16_IM02.bmp, (300, 300), Brad Pitt, (-300, 300), Patrick Dempsey, (550, -100), Ryan Gosling, (-550, -100), Keanu Reeves, (0, -400), Robert Pattinson, [276. 284.], 1, 2.900802900083363
sub-20, trial23, 18, Ryan Reynolds, ID18_IM01.bmp, (0, -400), George Clooney, (-550, -100), Matt Damon, (550, -100), Daniel Craig, (-300, 300), Justin Timberlake, (300, 300), familiar face, [ 134. -101.], 1, 1.110964099992998
sub-20, trial12, 02, Ben Stiller, ID02_IM03.bmp, (300, 300), Daniel Radcliffe, (-550, -100), Daniel Craig, (0, -400), Elijah Wood, (550, -100), Justin Timberlake, (-300, 300), familiar face, [ 122. -106.], 1, 1.5271471999585629
sub-20, trial48, 06, Elijah Wood, ID06_IM03.bmp, (550, -100), Leonardo DiCaprio, (-550, -100), Justin Timberlake, (300, 300), Brad Pitt, (0, -400), Patrick Dempsey, (-300, 300), familiar face, [ 126. -106.], 1, 3.0642191000515595
sub-20, trial59, 14, Patrick Dempsey, ID14_IM04.bmp, (-550, -100), Hugh Jackman, (300, 300), Keanu Reeves, (0, -400), Ryan Reynolds, (-300, 300), Robert Pattinson, (550, -100), familiar face, [ 132. -107.], 1, 2.4516363000730053
sub-20, trial37, 05, Daniel Radcliffe, ID05_IM02.bmp, (-300, 300), Keanu Reeves, (0, -400), Elijah Wood, (-550, -100), Justin Timberlake, (300, 300), Ben Stiller, (550, -100), Daniel Radcliffe, [-212.  283.], 1, 10.303387099993415
sub-20, trial22, 04, Daniel Craig, ID04_IM01.bmp, (-550, -100), George Clooney, (0, -400), Elijah Wood, (300, 300), Justin Timberlake, (550, -100), Ben Affleck, (-300, 300), Daniel Craig, [-404.  -92.], 1, 3.200793799944222
sub-20, trial50, 10, Keanu Reeves, ID10_IM04.bmp, (550, -100), Daniel Radcliffe, (300, 300), Ryan Gosling, (-550, -100), Orlando Bloom, (-300, 300), Hugh Jackman, (0, -400), familiar face, [ -50. -114.], 1, 0.8787937999004498
sub-20, trial68, 03, Brad Pitt, ID03_IM01.bmp, (-550, -100), Robert Downey Jr, (-300, 300), Ryan Gosling, (300, 300), George Clooney, (0, -400), Hugh Jackman, (550, -100), Brad Pitt, [-388.  -79.], 1, 2.473420799942687
sub-20, trial2, 07, George Clooney, ID07_IM02.bmp, (550, -100), Ryan Reynolds, (0, -400), Daniel Radcliffe, (-550, -100), Justin Timberlake, (-300, 300), Elijah Wood, (300, 300), George Clooney, [ 453. -103.], 1, 1.3483611000701785
sub-20, trial30, 01, Ben Affleck, ID01_IM04.bmp, (0, -400), Ryan Gosling, (300, 300), George Clooney, (-550, -100), Elijah Wood, (550, -100), Ben Stiller, (-300, 300), familiar face, [  86. -117.], 1, 1.8442857000045478
sub-20, trial54, 18, Ryan Reynolds, ID18_IM03.bmp, (0, -400), Justin Timberlake, (550, -100), Hugh Jackman, (-550, -100), Ben Affleck, (-300, 300), Daniel Radcliffe, (300, 300), familiar face, [ 142. -119.], 1, 2.393916300032288
sub-20, trial51, 06, Elijah Wood, ID06_IM01.bmp, (-550, -100), Ryan Reynolds, (300, 300), Patrick Dempsey, (0, -400), Ryan Gosling, (-300, 300), Ben Stiller, (550, -100), familiar face, [ 142. -119.], 1, 2.269297600025311
sub-20, trial56, 11, Leonardo DiCaprio, ID11_IM03.bmp, (550, -100), Ben Affleck, (-550, -100), Ryan Reynolds, (0, -400), George Clooney, (-300, 300), Daniel Radcliffe, (300, 300), Leonardo DiCaprio, [ 452. -121.], 1, 1.2336235999828205
sub-20, trial29, 08, Hugh Jackman, ID08_IM02.bmp, (-550, -100), Robert Downey Jr, (0, -400), Elijah Wood, (300, 300), Daniel Craig, (-300, 300), Leonardo DiCaprio, (550, -100), familiar face, [ 134. -124.], 1, 3.903246600064449
sub-20, trial41, 16, Robert Pattinson, ID16_IM01.bmp, (-550, -100), Keanu Reeves, (550, -100), Matt Damon, (300, 300), Orlando Bloom, (0, -400), Ben Stiller, (-300, 300), familiar face, [ 137. -124.], 1, 1.1284329999471083
