subject,trial,celeb_id,celeb_name,celeb_image,celeb_position,rand0_name,rand0_pos,rand1_name,rand1_pos,rand2_name,rand2_pos,rand3_name,rand3_pos,answer_celeb,answer_position,correct,rt
sub-02, trial16, 14, Patrick Dempsey, ID14_IM04.bmp, (550, -100), Hugh Jackman, (-550, -100), Ben Stiller, (-300, 300), Ryan Gosling, (0, -400), Orlando Bloom, (300, 300), Patrick Dempsey, [619. -81.], 1, 1.326573499944061
sub-02, trial25, 06, Elijah Wood, ID06_IM04.bmp, (550, -100), Robert Pattinson, (-550, -100), Brad Pitt, (300, 300), Hugh Jackman, (0, -400), Matt Damon, (-300, 300), Elijah Wood, [ 491. -123.], 1, 2.542682799976319
sub-02, trial42, 09, Justin Timberlake, ID09_IM03.bmp, (-300, 300), Hugh Jackman, (550, -100), Robert Pattinson, (300, 300), Ben Affleck, (-550, -100), Keanu Reeves, (0, -400), Justin Timberlake, [-317.  301.], 1, 2.3113701000111178
sub-02, trial52, 08, Hugh Jackman, ID08_IM04.bmp, (-550, -100), Orlando Bloom, (550, -100), Ryan Reynolds, (0, -400), Brad Pitt, (300, 300), Ben Stiller, (-300, 300), Hugh Jackman, [-615.  -99.], 1, 0.9520837999880314
sub-02, trial60, 09, Justin Timberlake, ID09_IM04.bmp, (-550, -100), George Clooney, (550, -100), Hugh Jackman, (300, 300), Elijah Wood, (-300, 300), Daniel Craig, (0, -400), Justin Timberlake, [-565. -115.], 1, 2.1356896000215784
sub-02, trial14, 10, Keanu Reeves, ID10_IM04.bmp, (-550, -100), Ben Affleck, (0, -400), Hugh Jackman, (550, -100), Leonardo DiCaprio, (-300, 300), Patrick Dempsey, (300, 300), Keanu Reeves, [-517. -118.], 1, 1.977082600002177
sub-02, trial13, 02, Ben Stiller, ID02_IM03.bmp, (300, 300), Justin Timberlake, (0, -400), Matt Damon, (550, -100), Leonardo DiCaprio, (-550, -100), Robert Downey Jr, (-300, 300), Ben Stiller, [253. 289.], 1, 2.7191262000706047
sub-02, trial22, 17, Ryan Gosling, ID17_IM01.bmp, (-300, 300), Keanu Reeves, (-550, -100), George Clooney, (0, -400), Hugh Jackman, (300, 300), Ben Stiller, (550, -100), Ryan Gosling, [-382.  282.], 1, 2.823781399987638
sub-02, trial19, 04, Daniel Craig, ID04_IM03.bmp, (0, -400), Robert Pattinson, (-300, 300), Brad Pitt, (550, -100), Keanu Reeves, (-550, -100), Patrick Dempsey, (300, 300), Daniel Craig, [ 120. -397.], 1, 1.5733309999341145
sub-02, trial67, 15, Robert Downey Jr, ID15_IM02.bmp, (300, 300), Ben Affleck, (550, -100), Ben Stiller, (-300, 300), Matt Damon, (0, -400), Leonardo DiCaprio, (-550, -100), Robert Downey Jr, [310. 275.], 1, 1.2597136000404134
sub-02, trial48, 03, Brad Pitt, ID03_IM01.bmp, (300, 300), Hugh Jackman, (0, -400), Robert Pattinson, (-300, 300), Patrick Dempsey, (-550, -100), Elijah Wood, (550, -100), Brad Pitt, [277. 275.], 1, 3.015329899964854
sub-02, trial17, 05, Daniel Radcliffe, ID05_IM04.bmp, (-550, -100), Patrick Dempsey, (300, 300), Robert Pattinson, (-300, 300), Hugh Jackman, (0, -400), Ryan Reynolds, (550, -100), Daniel Radcliffe, [-522. -133.], 1, 2.620409299968742
sub-02, trial33, 14, Patrick Dempsey, ID14_IM02.bmp, (-300, 300), Leonardo DiCaprio, (0, -400), Elijah Wood, (550, -100), Robert Downey Jr, (-550, -100), Ben Affleck, (300, 300), Patrick Dempsey, [-384.  301.], 1, 1.5703905000118539
sub-02, trial27, 01, Ben Affleck, ID01_IM04.bmp, (300, 300), Brad Pitt, (-550, -100), Robert Downey Jr, (550, -100), Hugh Jackman, (-300, 300), Elijah Wood, (0, -400), familiar face, [ -56. -100.], 1, 3.8409506001044065
sub-02, trial21, 18, Ryan Reynolds, ID18_IM01.bmp, (300, 300), Orlando Bloom, (550, -100), Hugh Jackman, (-550, -100), Keanu Reeves, (-300, 300), Elijah Wood, (0, -400), Ryan Reynolds, [275. 318.], 1, 3.749472299939953
sub-02, trial36, 02, Ben Stiller, ID02_IM01.bmp, (300, 300), Hugh Jackman, (0, -400), Matt Damon, (550, -100), Elijah Wood, (-300, 300), Patrick Dempsey, (-550, -100), Ben Stiller, [297. 266.], 1, 2.2295161000220105
sub-02, trial64, 12, Matt Damon, ID12_IM02.bmp, (-300, 300), Keanu Reeves, (300, 300), Robert Pattinson, (-550, -100), Daniel Craig, (0, -400), Orlando Bloom, (550, -100), Matt Damon, [-200.  305.], 1, 1.7527462999569252
sub-02, trial69, 16, Robert Pattinson, ID16_IM01.bmp, (300, 300), George Clooney, (-550, -100), Ben Affleck, (550, -100), Patrick Dempsey, (-300, 300), Orlando Bloom, (0, -400), Robert Pattinson, [279. 292.], 1, 0.9382198000093922
sub-02, trial47, 03, Brad Pitt, ID03_IM03.bmp, (550, -100), Orlando Bloom, (0, -400), Elijah Wood, (-300, 300), Robert Downey Jr, (300, 300), Patrick Dempsey, (-550, -100), Brad Pitt, [ 491. -102.], 1, 0.9447564999572933
sub-02, trial34, 01, Ben Affleck, ID01_IM03.bmp, (0, -400), Keanu Reeves, (550, -100), Robert Pattinson, (-300, 300), Ryan Gosling, (-550, -100), Brad Pitt, (300, 300), Ben Affleck, [  67. -409.], 1, 4.545215500053018
sub-02, trial41, 04, Daniel Craig, ID04_IM02.bmp, (-300, 300), Daniel Radcliffe, (300, 300), Orlando Bloom, (-550, -100), Ben Affleck, (550, -100), Keanu Reeves, (0, -400), Daniel Craig, [-322.  280.], 1, 2.2339035000186414
sub-02, trial37, 18, Ryan Reynolds, ID18_IM04.bmp, (300, 300), Leonardo DiCaprio, (0, -400), Ben Affleck, (-550, -100), Ben Stiller, (550, -100), Ryan Gosling, (-300, 300), familiar face, [ 37. -82.], 1, 6.229019799968228
sub-02, trial26, 13, Orlando Bloom, ID13_IM03.bmp, (550, -100), Brad Pitt, (0, -400), Ryan Reynolds, (-550, -100), Ryan Gosling, (300, 300), Leonardo DiCaprio, (-300, 300), Orlando Bloom, [446. -86.], 1, 1.1855325000360608
sub-02, trial46, 08, Hugh Jackman, ID08_IM02.bmp, (-300, 300), Robert Downey Jr, (-550, -100), Ben Affleck, (550, -100), Daniel Craig, (300, 300), Ryan Gosling, (0, -400), Hugh Jackman, [-330.  320.], 1, 1.4085301000159234
sub-02, trial9, 07, George Clooney, ID07_IM03.bmp, (0, -400), Elijah Wood, (300, 300), Ben Affleck, (550, -100), Daniel Radcliffe, (-300, 300), Ryan Reynolds, (-550, -100), George Clooney, [ -26. -355.], 1, 1.4779632999561727
sub-02, trial38, 02, Ben Stiller, ID02_IM02.bmp, (550, -100), Robert Pattinson, (300, 300), Ben Affleck, (-300, 300), Justin Timberlake, (-550, -100), George Clooney, (0, -400), Ben Affleck, [-302.  276.], 0, 4.1372005000011995
sub-02, trial3, 18, Ryan Reynolds, ID18_IM03.bmp, (-300, 300), Hugh Jackman, (550, -100), Brad Pitt, (-550, -100), Robert Pattinson, (300, 300), Keanu Reeves, (0, -400), Ryan Reynolds, [-340.  304.], 1, 2.88082179997582
sub-02, trial49, 03, Brad Pitt, ID03_IM04.bmp, (550, -100), Leonardo DiCaprio, (-550, -100), Ryan Reynolds, (0, -400), Matt Damon, (300, 300), Ben Affleck, (-300, 300), Brad Pitt, [ 467. -101.], 1, 3.659313299925998
sub-02, trial20, 12, Matt Damon, ID12_IM01.bmp, (550, -100), Ben Affleck, (0, -400), Brad Pitt, (-300, 300), George Clooney, (-550, -100), Patrick Dempsey, (300, 300), Matt Damon, [603. -94.], 1, 1.2545835000928491
sub-02, trial10, 09, Justin Timberlake, ID09_IM02.bmp, (-550, -100), Ben Affleck, (0, -400), Robert Pattinson, (300, 300), Ryan Gosling, (550, -100), Keanu Reeves, (-300, 300), Justin Timberlake, [-468. -116.], 1, 2.578692700015381
sub-02, trial6, 16, Robert Pattinson, ID16_IM04.bmp, (300, 300), Keanu Reeves, (550, -100), Ben Stiller, (0, -400), Robert Downey Jr, (-550, -100), Ryan Reynolds, (-300, 300), Robert Pattinson, [197. 277.], 1, 1.0013441999908537
sub-02, trial56, 10, Keanu Reeves, ID10_IM02.bmp, (0, -400), Ryan Reynolds, (-300, 300), Robert Pattinson, (-550, -100), Brad Pitt, (300, 300), Leonardo DiCaprio, (550, -100), Keanu Reeves, [ -12. -398.], 1, 1.4316468000179157
sub-02, trial70, 12, Matt Damon, ID12_IM04.bmp, (-550, -100), Leonardo DiCaprio, (550, -100), Patrick Dempsey, (0, -400), Robert Downey Jr, (300, 300), Ryan Reynolds, (-300, 300), Matt Damon, [-526. -110.], 1, 5.012147500063293
sub-02, trial72, 09, Justin Timberlake, ID09_IM01.bmp, (-550, -100), Elijah Wood, (550, -100), Robert Pattinson, (-300, 300), Keanu Reeves, (0, -400), Ben Affleck, (300, 300), Justin Timberlake, [-518. -121.], 1, 1.265239999978803
sub-02, trial62, 11, Leonardo DiCaprio, ID11_IM04.bmp, (-300, 300), Robert Downey Jr, (-550, -100), Hugh Jackman, (0, -400), Ryan Gosling, (550, -100), George Clooney, (300, 300), Leonardo DiCaprio, [-370.  265.], 1, 2.8200391000136733
sub-02, trial44, 10, Keanu Reeves, ID10_IM01.bmp, (0, -400), Robert Downey Jr, (300, 300), Ryan Gosling, (-300, 300), Ben Affleck, (550, -100), Ryan Reynolds, (-550, -100), Keanu Reeves, [ -38. -379.], 1, 1.6168405000353232
sub-02, trial30, 16, Robert Pattinson, ID16_IM02.bmp, (-550, -100), Matt Damon, (0, -400), Hugh Jackman, (300, 300), Brad Pitt, (-300, 300), Ryan Reynolds, (550, -100), Robert Pattinson, [-503. -115.], 1, 0.942036300082691
sub-02, trial40, 13, Orlando Bloom, ID13_IM01.bmp, (300, 300), George Clooney, (-300, 300), Ben Stiller, (550, -100), Robert Downey Jr, (-550, -100), Brad Pitt, (0, -400), Orlando Bloom, [267. 327.], 1, 1.4458360000280663
sub-02, trial54, 05, Daniel Radcliffe, ID05_IM03.bmp, (300, 300), Robert Downey Jr, (-300, 300), Brad Pitt, (550, -100), Justin Timberlake, (-550, -100), Daniel Craig, (0, -400), Daniel Radcliffe, [238. 287.], 1, 1.3058732999488711
