subject,trial,celeb_id,celeb_name,celeb_image,celeb_position,rand0_name,rand0_pos,rand1_name,rand1_pos,rand2_name,rand2_pos,rand3_name,rand3_pos,answer_celeb,answer_position,correct,rt
sub-21, trial21, 03, Brad Pitt, ID03_IM01.bmp, (-550, -100), Ryan Gosling, (0, -400), Robert Downey Jr, (300, 300), Hugh Jackman, (-300, 300), George Clooney, (550, -100), Brad Pitt, [-452.  -85.], 1, 1.078100600047037
sub-21, trial46, 05, Daniel Radcliffe, ID05_IM03.bmp, (-550, -100), Brad Pitt, (550, -100), Justin Timberlake, (0, -400), Orlando Bloom, (-300, 300), Matt Damon, (300, 300), Daniel Radcliffe, [-491. -105.], 1, 1.312238500220701
sub-21, trial56, 04, Daniel Craig, ID04_IM04.bmp, (0, -400), Justin Timberlake, (-300, 300), Elijah Wood, (-550, -100), Orlando Bloom, (550, -100), Patrick Dempsey, (300, 300), familiar face, [  10. -114.], 1, 3.658028299920261
sub-21, trial29, 18, Ryan Reynolds, ID18_IM03.bmp, (-550, -100), George Clooney, (550, -100), Leonardo DiCaprio, (-300, 300), Robert Pattinson, (0, -400), Matt Damon, (300, 300), Ryan Reynolds, [-429.  -83.], 1, 1.214217800181359
sub-21, trial30, 16, Robert Pattinson, ID16_IM02.bmp, (300, 300), Daniel Craig, (550, -100), Robert Downey Jr, (0, -400), Matt Damon, (-550, -100), Daniel Radcliffe, (-300, 300), idk, [-35.  45.], 0, 14.874313100008294
sub-21, trial57, 05, Daniel Radcliffe, ID05_IM02.bmp, (-550, -100), Daniel Craig, (300, 300), Leonardo DiCaprio, (0, -400), Hugh Jackman, (-300, 300), Orlando Bloom, (550, -100), familiar face, [-23. -87.], 1, 1.4774519000202417
sub-21, trial39, 13, Orlando Bloom, ID13_IM03.bmp, (0, -400), Ben Affleck, (300, 300), Robert Downey Jr, (-300, 300), Ryan Reynolds, (550, -100), Leonardo DiCaprio, (-550, -100), Orlando Bloom, [ -11. -391.], 1, 2.85551210003905
sub-21, trial70, 08, Hugh Jackman, ID08_IM03.bmp, (-550, -100), Robert Pattinson, (-300, 300), Leonardo DiCaprio, (300, 300), Keanu Reeves, (550, -100), Robert Downey Jr, (0, -400), familiar face, [   3. -111.], 1, 5.811346000060439
sub-21, trial44, 07, George Clooney, ID07_IM02.bmp, (550, -100), Leonardo DiCaprio, (0, -400), Ryan Reynolds, (300, 300), Justin Timberlake, (-550, -100), Ben Affleck, (-300, 300), George Clooney, [478. -96.], 1, 1.5043322001583874
sub-21, trial55, 18, Ryan Reynolds, ID18_IM04.bmp, (-300, 300), Leonardo DiCaprio, (550, -100), Brad Pitt, (-550, -100), Robert Pattinson, (300, 300), Patrick Dempsey, (0, -400), Ryan Reynolds, [-338.  288.], 1, 4.034345000050962
sub-21, trial4, 12, Matt Damon, ID12_IM02.bmp, (300, 300), Patrick Dempsey, (0, -400), George Clooney, (-550, -100), Hugh Jackman, (550, -100), Ben Stiller, (-300, 300), Matt Damon, [217. 288.], 1, 0.9262643000110984
sub-21, trial60, 07, George Clooney, ID07_IM04.bmp, (-550, -100), Orlando Bloom, (300, 300), Elijah Wood, (0, -400), Justin Timberlake, (-300, 300), Ryan Gosling, (550, -100), George Clooney, [-465.  -76.], 1, 5.255263100145385
sub-21, trial8, 08, Hugh Jackman, ID08_IM01.bmp, (300, 300), Patrick Dempsey, (-550, -100), Elijah Wood, (0, -400), Ben Stiller, (550, -100), Robert Downey Jr, (-300, 300), familiar face, [-104. -138.], 1, 1.0272519998252392
sub-21, trial45, 10, Keanu Reeves, ID10_IM04.bmp, (0, -400), Elijah Wood, (300, 300), Matt Damon, (-300, 300), Ryan Reynolds, (-550, -100), George Clooney, (550, -100), familiar face, [-104. -138.], 1, 0.9101064999122173
sub-21, trial49, 10, Keanu Reeves, ID10_IM02.bmp, (-300, 300), Daniel Craig, (550, -100), Daniel Radcliffe, (-550, -100), Elijah Wood, (0, -400), Ben Stiller, (300, 300), familiar face, [-105. -137.], 1, 0.6581623000092804
sub-21, trial47, 18, Ryan Reynolds, ID18_IM01.bmp, (-550, -100), Orlando Bloom, (300, 300), Justin Timberlake, (0, -400), Elijah Wood, (550, -100), Daniel Radcliffe, (-300, 300), Ryan Reynolds, [-409.  -87.], 1, 1.2449449999257922
sub-21, trial18, 03, Brad Pitt, ID03_IM03.bmp, (550, -100), George Clooney, (300, 300), Daniel Craig, (-550, -100), Daniel Radcliffe, (-300, 300), Ryan Reynolds, (0, -400), Brad Pitt, [398. -90.], 1, 2.0404592000413686
