subject,trial,celeb_id,celeb_name,celeb_image,celeb_position,rand0_name,rand0_pos,rand1_name,rand1_pos,rand2_name,rand2_pos,rand3_name,rand3_pos,answer_celeb,answer_position,correct,rt
sub-17, trial7, 11, Leonardo DiCaprio, ID11_IM04.bmp, (300, 300), Matt Damon, (-550, -100), Ben Stiller, (-300, 300), Ben Affleck, (0, -400), Ryan Gosling, (550, -100), Leonardo DiCaprio, [275. 285.], 1, 1.4410112999612466
sub-17, trial45, 11, Leonardo DiCaprio, ID11_IM03.bmp, (550, -100), Ryan Gosling, (0, -400), Daniel Radcliffe, (300, 300), Hugh Jackman, (-300, 300), Patrick Dempsey, (-550, -100), Leonardo DiCaprio, [ 427. -133.], 1, 1.8930031000636518
sub-17, trial46, 17, Ryan Gosling, ID17_IM01.bmp, (-550, -100), Matt Damon, (300, 300), George Clooney, (-300, 300), Leonardo DiCaprio, (0, -400), Brad Pitt, (550, -100), idk, [53. 55.], 0, 0.9918031999841332
sub-17, trial19, 09, Justin Timberlake, ID09_IM04.bmp, (-300, 300), Daniel Craig, (550, -100), Ben Stiller, (-550, -100), Brad Pitt, (300, 300), Keanu Reeves, (0, -400), idk, [52. 55.], 0, 0.4616786000551656
sub-17, trial25, 07, George Clooney, ID07_IM04.bmp, (-300, 300), Robert Downey Jr, (0, -400), Orlando Bloom, (300, 300), Brad Pitt, (550, -100), Daniel Radcliffe, (-550, -100), George Clooney, [-267.  305.], 1, 1.2566997000249103
sub-17, trial61, 09, Justin Timberlake, ID09_IM02.bmp, (300, 300), Hugh Jackman, (550, -100), Ryan Gosling, (-550, -100), Ben Stiller, (0, -400), Daniel Craig, (-300, 300), idk, [-6. 62.], 0, 1.8604070999426767
sub-17, trial54, 17, Ryan Gosling, ID17_IM03.bmp, (550, -100), George Clooney, (0, -400), Robert Pattinson, (300, 300), Ben Affleck, (-300, 300), Patrick Dempsey, (-550, -100), familiar face, [ 16. -98.], 1, 1.5671289999736473
sub-17, trial12, 15, Robert Downey Jr, ID15_IM03.bmp, (0, -400), Daniel Radcliffe, (550, -100), Orlando Bloom, (-300, 300), Elijah Wood, (300, 300), Ryan Gosling, (-550, -100), familiar face, [ 12. -87.], 1, 2.7264740000246093
sub-17, trial8, 08, Hugh Jackman, ID08_IM01.bmp, (550, -100), Ben Affleck, (0, -400), Elijah Wood, (-300, 300), Keanu Reeves, (300, 300), Patrick Dempsey, (-550, -100), idk, [14. 49.], 0, 0.6399810999864712
sub-17, trial30, 02, Ben Stiller, ID02_IM03.bmp, (0, -400), Brad Pitt, (300, 300), Leonardo DiCaprio, (-300, 300), Matt Damon, (-550, -100), Elijah Wood, (550, -100), familiar face, [  -1. -105.], 1, 2.4999960999703035
sub-17, trial23, 13, Orlando Bloom, ID13_IM04.bmp, (-300, 300), Ben Affleck, (300, 300), Justin Timberlake, (-550, -100), Robert Pattinson, (550, -100), Elijah Wood, (0, -400), familiar face, [  -1. -105.], 1, 6.084219599957578
sub-17, trial28, 03, Brad Pitt, ID03_IM02.bmp, (0, -400), George Clooney, (300, 300), Daniel Craig, (550, -100), Elijah Wood, (-550, -100), Ben Stiller, (-300, 300), Brad Pitt, [  76. -405.], 1, 1.7679950000019744
sub-17, trial56, 18, Ryan Reynolds, ID18_IM03.bmp, (550, -100), Matt Damon, (0, -400), Elijah Wood, (-300, 300), Ben Affleck, (300, 300), Ryan Gosling, (-550, -100), familiar face, [ 139. -117.], 1, 7.843015099992044
sub-17, trial36, 02, Ben Stiller, ID02_IM01.bmp, (0, -400), Daniel Craig, (300, 300), Robert Downey Jr, (-550, -100), Ben Affleck, (-300, 300), Hugh Jackman, (550, -100), familiar face, [ 139. -117.], 1, 1.138095600064844
sub-17, trial71, 10, Keanu Reeves, ID10_IM01.bmp, (-550, -100), Elijah Wood, (-300, 300), Ryan Gosling, (0, -400), Leonardo DiCaprio, (550, -100), Ryan Reynolds, (300, 300), idk, [-3. 52.], 0, 4.7800156000303105
